,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Regulation Of Apoptotic Process,0.014184397163120567,5.370534573035731e-07,0.00025241512493267936,0,0,9.90082219938335,142.93983540426453,DNAJA1;PRDX2;NPM1;HSP90AA1;KRT18;UBB;GSTP1;RTN4;NME1;HSPD1
1,GO_Biological_Process_2023,Pyruvate Metabolic Process,0.08,2.395747292225211e-06,0.0005630006136729246,0,0,50.93606138107417,659.2051012520457,LDHB;LDHA;ENO1;GAPDH
2,GO_Biological_Process_2023,Hydrogen Peroxide Catabolic Process,0.15,7.054141025398755e-06,0.0011051487606458,0,0,100.56302521008404,1192.8681197467536,PRDX2;PRDX4;PRDX1
3,GO_Biological_Process_2023,Glycolytic Process,0.10344827586206896,2.2345191734545304e-05,0.002625560028809,0,0,65.72307692307692,703.821818697053,LDHA;ENO1;GAPDH
4,GO_Biological_Process_2023,Protein Stabilization,0.02403846153846154,4.401674871296108e-05,0.0041375743790183,0,0,14.747723540826987,147.9335350464909,HSP90AA1;PPIB;GAPDH;RTN4;HSPD1
5,GO_Biological_Process_2023,Carbohydrate Catabolic Process,0.07317073170731707,6.417145309345527e-05,0.0046655661994268,0,0,44.94135338345865,433.8616729639665,LDHA;ENO1;GAPDH
6,GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death,0.015748031496062992,7.574622261664928e-05,0.0046655661994268,0,0,9.7935,92.9219226235192,DNAJA1;PRDX2;NPM1;KRT18;GSTP1;HSPD1
7,GO_Biological_Process_2023,Response To Unfolded Protein,0.06818181818181818,7.941389275620253e-05,0.0046655661994268,0,0,41.64668989547038,393.1796206078714,DNAJA1;HSP90AA1;HSPD1
8,GO_Biological_Process_2023,Removal Of Superoxide Radicals,0.2,0.00015666537518096716,0.0081814140372282,0,0,138.56944444444446,1214.0621082192192,PRDX2;PRDX1
9,GO_Biological_Process_2023,Cellular Response To Superoxide,0.18181818181818182,0.00019125062201490235,0.0089887792347004,0,0,123.16666666666669,1054.5438650851984,PRDX2;PRDX1
10,GO_Biological_Process_2023,Negative Regulation Of JUN Kinase Activity,0.16666666666666666,0.00022922592789026425,0.0091440488692372,0,0,110.84444444444443,928.9653922440637,DNAJA1;GSTP1
11,GO_Biological_Process_2023,Positive Regulation Of Type I Interferon Production,0.046875,0.00024336656727177132,0.0091440488692372,0,0,27.963934426229507,232.68626929331856,HSP90AA1;GAPDH;HSPD1
12,GO_Biological_Process_2023,Regulation Of Translational Initiation,0.046153846153846156,0.0002548085324307646,0.0091440488692372,0,0,27.51152073732719,227.65778315142148,NPM1;EIF1B;EIF1
13,GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process,0.012448132780082987,0.00027237592376451296,0.0091440488692372,0,0,7.675682773109243,63.00451701442006,DNAJA1;PRDX2;NPM1;KRT18;GSTP1;HSPD1
14,GO_Biological_Process_2023,Regulation Of Programmed Cell Death,0.020512820512820513,0.0004990046325315836,0.0156354784859896,0,0,12.178010471204187,92.5881370967682,PRDX2;HSP90AA1;RTN4;NME1
15,GO_Biological_Process_2023,Regulation Of Translation,0.019801980198019802,0.0005697923391227778,0.0167376499617315,0,0,11.743315508021391,87.72536857504292,NPM1;EIF1B;GAPDH;EIF1
16,GO_Biological_Process_2023,Positive Regulation Of Protein Processing,0.1,0.0006535983868982156,0.0180700730495389,0,0,61.55555555555556,451.387965030658,ANXA2;ENO1
17,GO_Biological_Process_2023,Chaperone-Mediated Protein Complex Assembly,0.09523809523809523,0.0007215335029183979,0.0188400414650915,0,0,58.312865497076025,421.84295147729466,HSP90AA1;HSPD1
18,GO_Biological_Process_2023,Proteasomal Protein Catabolic Process,0.01818181818181818,0.0007842747347275141,0.0194004802801016,0,0,10.754901960784316,76.9056278013687,PSMA4;PSMB2;PSMB3;PSMB1
19,GO_Biological_Process_2023,Apoptotic Process,0.017543859649122806,0.0008958320211215091,0.0210520524963554,0,0,10.366596638655462,72.75026275127453,EMP3;GAPDH;RTN4;HSPD1
20,GO_Biological_Process_2023,Regulation Of Protein Ubiquitination,0.02654867256637168,0.0012827364448169,0.02870886328876,0,0,15.469090909090909,103.00495814305071,DNAJA1;HSP90AA1;UBB
21,GO_Biological_Process_2023,Superoxide Metabolic Process,0.058823529411764705,0.0018977639551449,0.0387803938660057,0,0,34.60069444444444,216.8452838625928,PRDX2;PRDX1
22,GO_Biological_Process_2023,Negative Regulation Of JNK Cascade,0.058823529411764705,0.0018977639551449,0.0387803938660057,0,0,34.60069444444444,216.8452838625928,DNAJA1;GSTP1
