,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Regulation Of T Cell Activation,0.14516129032258066,1.5444806957139777e-12,1.3467871666625883e-09,0,0,51.128644939965696,1390.5116731244186,HLA-DMA;HLA-DRB5;HLA-DRA;TNFRSF1B;TIGIT;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1
1,GO_Biological_Process_2023,MHC Class II Protein Complex Assembly,0.42857142857142855,6.646247939427398e-12,1.9318427343935642e-09,0,0,216.4891304347826,5571.773960928484,HLA-DRB5;HLA-DMA;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
2,GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Class II Protein Complex,0.42857142857142855,6.646247939427398e-12,1.9318427343935642e-09,0,0,216.4891304347826,5571.773960928484,HLA-DRB5;HLA-DMA;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
3,GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response,0.23333333333333334,1.4867412274789656e-11,3.241095875904145e-09,0,0,89.07544757033249,2220.8156435102387,CD74;HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
4,GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex,0.3333333333333333,4.060373085414696e-11,7.081290660963229e-09,0,0,144.29710144927537,3452.620001381876,HLA-DRB5;HLA-DMA;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
5,GO_Biological_Process_2023,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response,0.3157894736842105,5.9168913346084e-11,8.599215406297543e-09,0,0,133.19063545150502,3136.722685635913,HLA-DRB5;HLA-DMA;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
6,GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion,0.1590909090909091,2.6843572149241965e-10,3.3439421305912855e-08,0,0,55.33227344992051,1219.4353080030662,HLA-DMA;HLA-DRB5;ITGB2;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
7,GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II,0.23076923076923078,4.918017112396434e-10,5.3606386525121154e-08,0,0,86.54347826086956,1854.881653517592,HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
8,GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II,0.21428571428571427,8.000220402286782e-10,7.75132465643786e-08,0,0,78.66798418972331,1647.8096352915616,HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
9,GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling,0.04741379310344827,1.0297978262379323e-09,8.979837044794772e-08,0,0,15.324095022624434,317.1153411585568,CD74;LGALS1;STAT1;TNFSF10;HSPB1;S100A4;CFLAR;PIM2;RHOC;HLA-DRB1;BIRC3
10,GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen,0.1935483870967742,1.549713382654779e-09,1.2285000633408794e-07,0,0,69.21739130434783,1404.088337971663,HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
11,GO_Biological_Process_2023,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling,0.05142857142857143,1.871335741726104e-08,1.3598373056543025e-06,0,0,16.231380065717413,288.8216357129742,CD74;LGALS1;TNFSF10;S100A4;CFLAR;PIM2;RHOC;HLA-DRB1;BIRC3
12,GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation,0.1276595744680851,2.1555695502605386e-08,1.4458897290978383e-06,0,0,42.171792152704136,744.4428646204424,HLA-DMA;HLA-DRB5;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
13,GO_Biological_Process_2023,Positive Regulation Of T Cell Activation,0.06542056074766354,1.514164709117068e-07,9.431083045357735e-06,0,0,20.40808823529412,320.4729383406657,HLA-DRB5;HLA-DMA;HLA-DRA;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1
